,date,code,close,open,high,low,volume,typical_price,change,positive_mf,negative_mf,MFI,pos
0,2015-01-05,VSC,24.03,23.98,24.03,23.74,6.89,23.933333333333334,,0.0,0.0,,
1,2015-01-06,VSC,24.08,24.03,24.08,23.64,42.85,23.933333333333334,0.0,0.0,0.0,,
2,2015-01-07,VSC,24.22,24.17,24.22,23.83,32.31,24.09,0.1566666666666663,778.3479000000001,0.0,,
3,2015-01-08,VSC,24.03,24.22,24.22,24.03,7.29,24.093333333333334,0.0033333333333338544,175.6404,0.0,,
4,2015-01-09,VSC,24.7,24.22,25.19,24.22,21.22,24.703333333333333,0.6099999999999994,524.2047333333333,0.0,,
5,2015-01-12,VSC,24.46,24.7,24.7,24.22,19.14,24.459999999999997,-0.24333333333333584,0.0,468.16439999999994,,
6,2015-01-13,VSC,24.7,24.22,24.7,24.22,2.81,24.540000000000003,0.0800000000000054,68.9574,0.0,,
7,2015-01-14,VSC,24.7,24.7,24.95,23.98,6.15,24.543333333333333,0.0033333333333303017,150.94150000000002,0.0,,
8,2015-01-15,VSC,24.22,24.95,24.95,24.22,20.62,24.463333333333335,-0.0799999999999983,0.0,504.4339333333334,,
9,2015-01-16,VSC,24.22,24.22,24.22,24.12,9.11,24.186666666666667,-0.2766666666666673,0.0,220.34053333333333,58.73655629449999,
10,2015-01-19,VSC,24.17,23.98,24.17,23.98,17.56,24.10666666666667,-0.0799999999999983,0.0,423.31306666666666,51.23463350956262,
11,2015-01-20,VSC,24.22,24.22,24.46,24.22,12.66,24.3,0.19333333333333158,307.63800000000003,0.0,43.16244804081032,
12,2015-01-21,VSC,24.03,24.22,24.22,23.98,1.17,24.076666666666668,-0.22333333333333272,0.0,28.1697,39.00882585028419,
13,2015-01-22,VSC,24.22,24.03,24.22,23.98,0.27,24.14,0.06333333333333258,6.5178,0.0,24.515056318414608,
14,2015-01-23,VSC,24.22,24.22,24.22,24.03,4.86,24.156666666666666,0.01666666666666572,117.40140000000001,0.0,35.64323179783847,
15,2015-01-26,VSC,24.22,24.08,24.22,23.98,6.66,24.14,-0.01666666666666572,0.0,160.7724,30.345928730755915,
16,2015-01-27,VSC,24.22,23.98,24.7,23.98,17.02,24.3,0.16000000000000014,413.586,0.0,38.729434584199225,
17,2015-01-28,VSC,24.22,24.22,24.46,23.98,45.56,24.22,-0.08000000000000185,0.0,1103.4632,30.38769458717151,
18,2015-01-29,VSC,24.17,24.03,24.22,23.98,7.0,24.123333333333335,-0.09666666666666401,0.0,168.86333333333334,30.960746264211465,
19,2015-01-30,VSC,23.74,24.03,24.08,23.74,11.27,23.853333333333328,-0.2700000000000067,0.0,268.8270666666666,32.81805039524683,
20,2015-02-02,VSC,23.74,24.17,24.17,23.74,34.67,23.88333333333333,0.030000000000001137,828.0351666666666,0.0,44.1117863101091,
21,2015-02-03,VSC,23.74,23.74,23.74,23.49,16.22,23.656666666666666,-0.22666666666666302,0.0,383.7111333333333,39.56737567588647,
22,2015-02-04,VSC,23.59,23.74,23.74,23.59,1.15,23.64,-0.01666666666666572,0.0,27.186,39.144094642992535,
23,2015-02-05,VSC,23.54,23.59,23.64,23.54,13.56,23.573333333333334,-0.06666666666666643,0.0,319.6544,33.7938979882785,
24,2015-02-06,VSC,23.98,23.93,24.17,23.74,17.55,23.963333333333335,0.39000000000000057,420.5565,0.0,42.25285172874664,
25,2015-02-09,VSC,24.95,24.22,24.95,24.22,125.4,24.706666666666667,0.7433333333333323,3098.2160000000003,0.0,65.67650162536012,
26,2015-02-10,VSC,24.95,24.95,25.19,24.95,20.05,25.03,0.32333333333333414,501.85150000000004,0.0,80.58399309017506,
27,2015-02-11,VSC,24.95,24.95,24.95,24.7,12.76,24.866666666666664,-0.16333333333333755,0.0,317.29866666666663,78.64386995090882,
28,2015-02-12,VSC,24.7,24.7,24.95,24.22,11.61,24.623333333333335,-0.24333333333332874,0.0,285.8769,78.42698526957132,
29,2015-02-13,VSC,24.7,24.7,25.19,24.46,9.18,24.783333333333335,0.16000000000000014,227.511,0.0,76.10605428607775,
30,2015-02-24,VSC,24.95,24.7,25.43,24.7,27.23,25.026666666666667,0.2433333333333323,681.4761333333333,0.0,83.84224117433116,
31,2015-02-25,VSC,24.95,25.43,25.43,24.95,59.08,25.11,0.08333333333333215,1483.4987999999998,0.0,87.42042629511364,
